	text	HOF
0	@SukiRavan @ProgressPotato @MarkZuckerb0rg @JSiffordson @KyleKulinski If Joe Biden is .00000000000000001 % better I will vote for him.	0
1	@Newsweek Are you freaking crazy????[NEWLINE]I’d rather watch A Roto Rooter team clean out my sewers than more of #BronzeBoy spewing his endless lies and distortions. It’s the same old same old racist crap. America if you fall for this again you deserve what you get[NEWLINE]#VoteBlue2020	0
2	Undecided voters (and MAGATs alike);[NEWLINE]If you're worried about Joe sniffing hair, why aren't you worried about tRUmp grabbing someone's pu$$y?[NEWLINE][NEWLINE]If you're worried about Hunter, why aren't you worried about Ivanka?[NEWLINE][NEWLINE]If you're worried about Kamala, why aren't you worried about Mike?	0
3	@cheaterwins @Hungry_For_More @DAYSORSHAY So as of right now President Trump is more likely to win then Biden I'm basing this off of likelihood I'm not saying who's going to win but President Trump is more likely to win[NEWLINE][NEWLINE]#trump2020 #keepAmericagreat #Trumpisthebestpresident	0
4	@CNN Nancy Pelosi and the Dems wont do a deal because it would make Trump look good. Forget those with hungry kids, car about to get repo’d, behind on their mortgage. They want a homeless population that will never vote against the hands that feeds them. It’s total control.	0
5	@EvanAKilgore @PressSec @johnrobertsFox Looks like a duck, walks like a duck... #Trump2020 [NEWLINE][NEWLINE]https://t.co/X5IOFTM0Lw	0
6	@ACTforAmerica @realDonaldTrump We love him too!! The best President, President Trump🇺🇸♥️#Trump2020	0
7	@realDonaldTrump I don't have a 401k #bidenharris2020	0
8	@kayleighmcenany @realDonaldTrump Omfg....THE MOST IRRESPONSIBLE CRETINOUS SELFISH ENTITY 9N THE PLANET...IS THE PRESIDENT!!!! #BidenHarris2020 GET HIM OUUUUUUTTTTTT	0
9	"So, the NY Post writes an article about Biden family corruption. Twitter, Facebook censor it. Then the Biden campaign says the censorship itself ""made clear"" the story was bogus. Got that? Corrupt censorship validates the corruption. I'm back in the USSR.[NEWLINE]https://t.co/vwPulWxazr"	0
10	@greenfield64 No Way!   @realDonaldTrump   F**K Trump  Wish him the best but you know what, he knew the risks and should have worn a mask.  #BidenHarris2020 #screwtrump...	1
11	Harris on voting rights: ‘He knows he can’t win if people vote. Donald Trump is weak so he’s throwing up every roadblock he can to suppress the vote, and we the people cannot let him get away with it.’ https://t.co/RAnxwFs15I	0
12	So my 77 year old mother stood in line 5 hours to vote in #Georgia today. As she stood there, an armed man wearing #Trump gear walked up and down the line with a gun in his holster, presumably to scare. This is not voter supression, its Voter intimidation [NEWLINE]#ThisIsAmerica	0
13	Do u want a Dem monarchy? Joe Biden Declares Voters ‘Don’t Deserve’ to Know His Position on Court Packing https://t.co/VlgyDhYVKf	0
14	To the new stewards of the highest elected offices... Congrats Joe &amp; Kamala #BidenHarris2020	0
15	I don’t know how democrats aren’t embarrassed to have Joe Biden &amp; Kamala Harris as their candidates[NEWLINE][NEWLINE]They must be counting on a Marxist government in the future that will destroy all the evidence of these complete sham candidates &amp; the manipulation of the narrative by the Media	0
16	I see Trump is trying to buy my vote with these tax cuts and now sending $200 to all the seniors dam it worked I’m voting for Trump #Trump2020	0
17	@JoeBiden just delivered an amazing speech! 👍 For the first time in 4 years, especially 2020, I feel comforted. I feel assured that someone competent is speaking to me from our Gov't. Someone who has logical plans to fix our economy! [NEWLINE][NEWLINE]#BidenHarris2020 [NEWLINE]#KeepBidenSafe [NEWLINE]#VOTE https://t.co/ewYLq4qB88	0
18	@Trentasaurusre1 😁 You'll be fine. Joe and Kamala are basically Republicans anyway. And Trump's...well Putin's bitch. Glad you're good ❤😜	1
19	Biden and Harris would allow a baby to be aborted 5 minutes before birth! They are RADICAL and will push for policies that will destroy America. Vote today to protect the lives of millions of unborn children in our nation.[NEWLINE][NEWLINE]https://t.co/HaGw8OiJEp	0
20	My client who died of #COVID19 didn't feel 20 years younger. [NEWLINE][NEWLINE]#TrumpCovid19 [NEWLINE]#COVIDIOT [NEWLINE]#WhiteHouseVirus [NEWLINE]#BidenHarris2020	1
