text	problematic
Ay yall heard that Rich Gang tape thou?? That bitch on Flame!!!&#128293;	0
I don't want a bitch that a nigga already had I want sumn new ... Or a runner it's too easy nigga I accept the challenge	0
RT @BossyDiva__: Come get yo hoe	0
RT @ESPNDaniel: A strong black women is simply a bitch that wanna argue over every single thing	0
All These hoes sooo average &#128553;&#128533;	0
@JStarrTweets I took it harder when Rivera retired. I'm not a Yankee fan but I have a lot of love and respect for em. Especially the core 4	0
Wish i had a bad bitch tonight where they at?	0
15. Did twitter ever get you pussy/dick	0
Where Is VRSL, that nigger owes me 10 bucks	0
@KevinKevmooney @LEllerbe when bet now i make sure that bitch is not involved that's 1 thing floyd and pac can agree on she screwed em both	0
My nig said he don't see the differences between pornos and monster ball.... My face &#128551;	0
Apparently not wanting to trade your Nitro M4 in CSGO makes you a collossal faggot.	0
@SydneeSmalling fuck Miley tranny looking now damn ass nigga	1
Broke bitches on my tl...	0
@actionLLJackson unless bitch is a word for awesome they are wrong	0
RT @ABCbirds1: #Neonics are deadly to #birds like the American Kestrel and #bees. Ask @Lowes to take it off their shelves. #EcoWed http://t&#8230;	0
"@HeilSidious @BreezByYa LOL that Caitlyn.. ""Can't carry 3 retards"""	0
Your ex wife's #pussy tastes like sweet butter @vicmackey #theshield	0
RT @JamezNate: You're a bitch and nobody likes you	0
I really hate a fat bitch cause I'm bony ,love smoking hella Swisher's when I'm feeling lonely (try me)voice &#128557;&#128557;	0
White people always gave yellow ass teeth	0
add me on snapchat bitches @ erinblair	0
RT @CheyenneWright_: @villasenor_30 it means you're a faggot lol	1
"E250 5.4 motor and tranny

I have a 2008 5.4 triton motor and Transmission with 5,200 miles that came off a E250... http://t.co/d5gic83k0V"	0
RT @nikkiconner13: Panera with my bottom bitch @iSpeakMut	0
"RT @Heissarcastic: If my tweets offend you:

1. stop being a sensitive pussy
2. Fuck your feelings"	0
GA Charlie @Charlie4927 @StacyDmomof5 @RevkahJC @PattiSM74 @cantUCIMblonde @Kacado	0
fat white bitch an a skinny po' black nigga......yeah im in Metairie fa sho....	0
RT @MarcusButlerTv: When someone's phone goes off in the cinema I want to jump across the seats and fly kick dat bitch.	0
Knock em down wit sum chunky &#128548;&#128299;	0
"My nigga dm'd a bitch and said ""ur eyes are so beautiful they melt me"" lmaoooo nigga thought he was reading a romantic comedy movie script"	0
RT @HELL3RELL: Today is the only day you hoes get a pass for being a fool&#128514;	0
@thesportsjudge. Sometimes a good hoe fire needs some Rocephin too before it'll go out.....	0
no im not weezy bitch im wheezy from that chronic cough	0
"RT @breely216: The recommended serving size for brownies is ""all of them."""	0
Some of these hood negros don't deserve bail money the way they be visiting jail.	1
&#128520;&#127383; we snap chatted for one night lol. But you're cute. Snapchat me back nig	0
@jessespector bird hats &gt; every other hat	0
bitch I need that body high do not fuck wit my head pleeeease	0
@fucktyler me too Tyler it just makes me think that they're lil nigger baby hoodrats.	1
RT @robdelaney: Girl I wanna rip my dick off and throw it at your pussy.	0
RT @amara_banks: I want some taco truck tacos! Brenda &amp; her mom be having them bitches smacking.	0
Bored then a hoe! Listening to these fuck ass adults lecturing us with @__vercetti http://t.co/NyBO16RMsh	0
"Ppl really can't handle a girl that's not a ""yes girl"" and says how she feel .. come off as a bitch"	0
@kieffer_jason @C_janacek07. No the fuck it doesn't it's a fucking song wtf r u talking about. Yes the fuck I can bitch	0
@SAMMI_boyden well he's a cunt and he can suck my ass	1
Shut up bitch swallow	0
Let those bitches keep loving sosa	0
&#128588;RT @Nay_btw It amazes me how niggas can fuck w/ EVERY bitch but when a nigga try to talk to his bitch he wanna cry about it&#128533; I need answers	0
paper ova pussy	0
I would call you a bitch, but that's frowned upon.	0
"""SORRY JB FAN&#65292;REALLY JUSTIN COME BACK"". That is the top comment on a Justin Timberlake video with 10 million views. Son of a fucking bitch!"	0
I had liked this one bitch but, she always was in some shit causing some fucking drama	0
How you livin hoe.	0
Yea randy that white 745 changed my whole mind that hoe nice	0
A fat bitch &gt; RT @WayneL_Jr: A strong black woman &gt; RT @Ivan_splash: Kim&gt;Kourtney&gt;Kendall&gt;Khloe&gt; Kylie	0
Man why do these hoes even bother wearing clothes when they're going out like that.	0
Words for my single niggaz out here! too many bad bitches better than the last so never sweat a chick man they confused and that's ok.	0
RT @_blvcksxul: When u see a bitch that don&#8217;t like u, look at u&#8230; http://t.co/vAO8ovq4XM	0
I know Outback when I see Outback, hoe.	0
im wearing a sweater and it's ike 80 degrees in my house	0
I hate a wishy washy bitch	0
Cut that bitch off !!	0
Bruised ankle is a bitch	0
Fuck boi fag	1
and trying to maintain this color is gonna be a fuckin bitch like i washed my hair once and it already started going blonde again idk idk	0
RT @BubbaFishh: @Huntermoore @claire_mac this cunt is still talking!? Holy fuck, can you just get breast cancer already	0
A girl who getting it in school and work.... I applaud you! Y'all the real bitches! Y'all doing what you do and doing it well!	0
Nobody is going to say anything about how unloyal Sterling's side bitch is?	0
"@iNURSELISA @MailOnline 
See dis what happens when a colored man move into @Rotten_Soil&#160;'s neighborhood. He ain't been sick fo 10 days"	0
RT @_Ezzzylove: I hate salty bitches	0
&#8220;@Dedicated_03: Wassup twitter &#128518; http://t.co/rNeTkFXm7f&#8221; wassup bitch !!	0
RT @Plurizard: I don't burn bridges.. tf I look like holding a grudge and being a lil bitch. Shit happens. You'll be fine.	0
@kieffer_jason bitch cause u wanted to fight and you didn't show up, and tryna make a bet and shit get yo friendly ass off My Twitter	0
Call me ghetto if you want but I'm walking to and from class with my bonnet on my hair.	0
&#8220;@kaitlinfryer: Big oleeeee middle finger, bitch.&#8221;	0
@littleelexx you a bitch tho I know for sure I'm not. You'd get your ass beat by any of my bitches that's fact &#128514;&#128514;	0
Yeah, I'm SO annoying until you need something...bitch #fuckfriendzones I don't play that shit, fuck with my heart and I'll make you wish	0
@c_drew_ I'm guessing so. The players are talking trash.	0
Lmao bitches is crazy...after reading the first sentence to yaself jus see how dumb you sound... #ASideBitchMadeThis http://t.co/PkvTaScEcV	0
she pooted &#8220;@Not1FuckisGiven: Either Young Thug gay, or this bitch pooted https://t.co/g0FgRX7dju&#8221;	1
"I'm making a t-shirt. It says ""Ke$ha, the white trash slut I wish I was."" for teenage girls with shitty tasted in music."	0
One thing u can't get me to do is trust a bitch	0
RT @LakeShOwQueen: Kevin Love out here bein a hoe... Just let the world know u gonna be a Laker 2015 season dawg	0
@calumlove1997 might havti give you a visit. This cunt isn't going to have a family when im done.	0
&#8220;@HighClassCapri: @what_evaittakes no bitch hurry up lol&#8221;im so hungry I can't focus&#128553;	0
#Yankees Pineda needed that 6'7. Great play!	0
&#8220;@Son_Goku_Tho: Dr gero made android 18 to destroy da world das sum bitch nigga shit I would program a girl android to gimme sum neck 24/7&#8221;	0
"""She said wigga man you rich...take the du-rag off"" http://t.co/jb7J3zSbam"	0
' That one niggah that grab the AUX cord and start playen weak ass music &#1041204;&#1041204;&#1041204;&#1041204; http://t.co/KOdyDgPgjA	0
@elementjetson thank you mint - happy Mothafuggin birthday too, hoe!! &#128155;&#9994;	0
OMGGGGG...!!!! Nigga said Jerry ... black bitch.	0
RT @OhLawdItsNiesha: That hoe Brittish got the fuckin NERVE	0
Lol @ me next time bitch	0
Karmas a bitch and so are you. You'll be getting along just fine real soon.	1
Won't catch me sneak dissing, thats fo the birds.	0
RT @tr4pb0y: when the pussy so good &amp; u forget to pull out http://t.co/653Te4sUhr	0
@O3_Millz white bitch?	0
We don't want yo bitch mane, we just wanna have fun with her.	0
@shefeelsD_Payne nigga don't be telling my business on this hoe lol	0
"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs"	0
RT @NotoriousJB_: &#8220;@Von_VonRichter: Sometimes females are just fucking retarded bro. I swear I just want to kick y'all in the ovaries.&#8221;	0
"RT @thisdayinmetal: Apr 29th 1997 @WASPOfficial released the album ""Kill.Fuck.Die"" #TakeTheAddiction #MyTorturedEyes #WASP #HeavyMetal http&#8230;"	0
